;;;;;;
;Punto d'inizio;;;Punto di fine;;
road_lcd;pnt_lcd_ini;lat_ini;lon_ini;pnt_lcd_fin;lat_fin;lon_fin
348;5084;45,18382;7,96679;5085;45,19015;8,0016
348;5085;45,19015;8,0016;5086;45,18955;8,02316
348;5086;45,18955;8,02316;5087;45,19327;8,08076
351;5105;45,50607;9,10086;44480;45,5075;9,09477
351;44480;45,5075;9,09477;5106;45,51251;9,08309
351;5106;45,51251;9,08309;5107;45,51851;9,07096
351;5107;45,51851;9,07096;5108;45,52339;9,06242
351;5108;45,52339;9,06242;5109;45,54568;8,99876
354;5206;45,36299;9,13325;5207;45,37803;9,14186
354;5207;45,37803;9,14186;5208;45,38823;9,14789
354;5208;45,38823;9,14789;5209;45,39154;9,14992
354;5209;45,39154;9,14992;42128;45,40405;9,15686
354;42128;45,40405;9,15686;42129;45,42697;9,17018
354;42129;45,42697;9,17018;42130;45,43756;9,17481
354;42130;45,43756;9,17481;42131;45,44367;9,17623
354;42131;45,44367;9,17623;42132;45,49628;9,19186
354;42132;45,49628;9,19186;5210;45,50153;9,18826
354;5210;45,50153;9,18826;5211;45,53372;9,16297
354;5211;45,53372;9,16297;5212;45,54716;9,1629
354;5212;45,54716;9,1629;5213;45,55692;9,16588
354;5213;45,55692;9,16588;5214;45,56251;9,17721
354;5214;45,56251;9,17721;42121;45,57006;9,17678
354;42121;45,57006;9,17678;42122;45,57945;9,1755
354;42122;45,57945;9,1755;42123;45,58543;9,17458
354;42123;45,58543;9,17458;5215;45,59662;9,17211
631;8922;45,50236;9,14318;8923;45,50255;9,14297
631;8923;45,50255;9,14297;8924;45,51397;9,12536
631;8924;45,51397;9,12536;8925;45,54165;9,10076
631;8925;45,54165;9,10076;8926;45,56497;9,07703
631;8926;45,56497;9,07703;8927;45,59102;9,05074
811;10763;44,99821;7,68042;10764;44,99182;7,69842
811;10764;44,99182;7,69842;10765;44,98035;7,70353
811;10765;44,98035;7,70353;10766;44,92362;7,73478
811;10766;44,92362;7,73478;10767;44,91615;7,74245
811;10767;44,91615;7,74245;10768;44,85842;7,72341
833;10906;45,39036;9,21218;42161;45,3845;9,2153
833;42161;45,3845;9,2153;10908;45,36068;9,23144
836;10956;45,43527;9,25556;13914;45,42529;9,27398
836;13914;45,42529;9,27398;13915;45,42342;9,2894
836;13915;45,42342;9,2894;13916;45,42796;9,32105
885;11411;45,16863;7,95728;11413;45,15786;7,95202
885;11413;45,15786;7,95202;11414;45,13089;7,94219
885;11414;45,13089;7,94219;11415;45,10142;7,98357
885;11415;45,10142;7,98357;11416;45,0889;7,98875
885;11416;45,0889;7,98875;11417;45,0714;8,03338
885;11417;45,0714;8,03338;11418;45,04437;8,04103
885;11418;45,04437;8,04103;11419;45,00347;8,10189
887;11431;45,17274;7,68086;11432;45,23735;7,74573
887;11432;45,23735;7,74573;11433;45,26558;7,74332
887;11433;45,26558;7,74332;11434;45,29756;7,74649
887;11434;45,29756;7,74649;11435;45,33203;7,72316
887;11435;45,33203;7,72316;11436;45,35443;7,69852
887;11436;45,35443;7,69852;11437;45,3851;7,66038
887;11437;45,3851;7,66038;11438;45,39124;7,65023
887;11438;45,39124;7,65023;11439;45,40278;7,63914
887;11439;45,40278;7,63914;11440;45,4178;7,59857
887;11440;45,4178;7,59857;11441;45,41155;7,54597
887;11441;45,41155;7,54597;11442;45,40741;7,52112
887;11442;45,40741;7,52112;11443;45,41705;7,45716
887;11443;45,41705;7,45716;11444;45,42253;7,44346
887;11444;45,42253;7,44346;11445;45,43374;7,41364
923;11774;45,45167;9,14169;11775;45,42819;9,07682
923;11775;45,42819;9,07682;11776;45,40631;9,02372
990;12294;45,4431;7,84099;12295;45,42426;7,7972
990;12295;45,42426;7,7972;12296;45,42431;7,78392
990;12296;45,42431;7,78392;12297;45,38624;7,73757
990;12297;45,38624;7,73757;12298;45,36519;7,7245
990;12298;45,36519;7,7245;12299;45,35479;7,69953
1016;12461;45,07626;7,40111;12462;45,03561;7,41985
1016;12462;45,03561;7,41985;12463;45,02184;7,46395
1016;12463;45,02184;7,46395;12464;44,99231;7,46792
1016;12464;44,99231;7,46792;12465;44,90269;7,35883
1016;12465;44,90269;7,35883;12466;44,88801;7,35318
1016;12466;44,88801;7,35318;12467;44,87115;7,3345
1016;12467;44,87115;7,3345;12468;44,85234;7,33763
1016;12468;44,85234;7,33763;12469;44,78932;7,37554
1017;12477;45,08;7,731;12478;45,102;7,76531
1017;12478;45,102;7,76531;12479;45,1185;7,80711
1017;12479;45,1185;7,80711;12480;45,12499;7,82032
1017;12480;45,12499;7,82032;12481;45,14944;7,84789
1017;12481;45,14944;7,84789;12482;45,16882;7,85966
1017;12482;45,16882;7,85966;12484;45,16863;7,95728
1017;12484;45,16863;7,95728;12483;45,16515;7,98741
1017;12483;45,16515;7,98741;12485;45,15486;8,04973
1017;12485;45,15486;8,04973;12486;45,11537;8,06657
1020;12522;45,36521;8,08308;12523;45,34903;8,05305
1020;12523;45,34903;8,05305;12524;45,30937;8,02438
1022;12532;45,30225;7,88959;12533;45,29986;7,9359
1022;12533;45,29986;7,9359;12534;45,3097;7,97661
1022;12534;45,3097;7,97661;12535;45,30913;8,0197
1096;13064;44,85116;7,72483;13065;44,81888;7,7539
1098;13079;44,89204;7,66908;13080;44,84345;7,64182
1098;13080;44,84345;7,64182;13081;44,82621;7,62415
14045;14046;45,51914;9,07028;14047;45,51608;9,0796
14045;14047;45,51608;9,0796;14228;45,51555;9,08545
14045;14228;45,51555;9,08545;14049;45,51843;9,08746
14045;14049;45,51843;9,08746;14050;45,52283;9,0913
14045;14050;45,52283;9,0913;14051;45,52961;9,09475
14045;14051;45,52961;9,09475;14052;45,52987;9,10883
14053;14054;45,49087;9,04377;14055;45,49806;9,06678
14053;14055;45,49806;9,06678;14056;45,49784;9,07471
14053;14056;45,49784;9,07471;14057;45,50359;9,0907
14059;14060;45,51432;9,12142;14061;45,50995;9,12947
14059;14061;45,50995;9,12947;14062;45,49554;9,13022
14063;14064;45,4227;9,15936;14065;45,42905;9,16299
14063;14065;45,42905;9,16299;14066;45,43734;9,17092
14114;14115;45,40681;9,26138;14118;45,41203;9,26235
14114;14118;45,41203;9,26235;14119;45,41461;9,25955
16167;16168;45,10066;8,00028;16169;45,08929;8,00071
16167;16169;45,08929;8,00071;16170;45,06976;8,02087
16167;16170;45,06976;8,02087;16171;45,05549;8,0185
16167;16171;45,05549;8,0185;16172;45,0449;8,01621
16167;16172;45,0449;8,01621;16173;45,03751;8,01598
16167;16173;45,03751;8,01598;16174;44,99838;8,02121
16167;16174;44,99838;8,02121;16175;44,99312;8,02032
16167;16175;44,99312;8,02032;16176;44,98741;8,01739
16167;16176;44,98741;8,01739;16177;44,94991;8,02003
16167;16177;44,94991;8,02003;16178;44,93897;8,02286
16167;16178;44,93897;8,02286;16179;44,93307;8,02608
16167;16179;44,93307;8,02608;16180;44,92106;8,03704
16167;16180;44,92106;8,03704;16181;44,91616;8,03223
16167;16181;44,91616;8,03223;16182;44,91374;8,02993
16167;16182;44,91374;8,02993;16183;44,90639;8,02498
16167;16183;44,90639;8,02498;16184;44,8966;8,01126
16167;16184;44,8966;8,01126;16185;44,88817;8,00478
16167;16185;44,88817;8,00478;16186;44,87612;8,00823
16167;16186;44,87612;8,00823;16187;44,82536;8,00486
16218;16219;45,09524;7,95308;16220;45,06993;7,9414
16218;16220;45,06993;7,9414;16221;45,04409;7,96045
16218;16221;45,04409;7,96045;16222;45,02898;7,96736
16218;16222;45,02898;7,96736;16223;45,02133;7,95037
16218;16223;45,02133;7,95037;16224;44,98977;7,95938
16218;16224;44,98977;7,95938;16225;44,96512;7,96304
16218;16225;44,96512;7,96304;16226;44,94982;7,96889
16218;16226;44,94982;7,96889;16227;44,92259;7,97382
16218;16227;44,92259;7,97382;16228;44,91106;7,97248
16218;16228;44,91106;7,97248;16229;44,90406;7,96844
16218;16229;44,90406;7,96844;16230;44,89935;7,96456
16218;16230;44,89935;7,96456;16231;44,86942;7,94388
16232;16234;45,06714;8,06732;16235;45,07778;8,0508
16232;16235;45,07778;8,0508;16236;45,08729;8,03646
16232;16236;45,08729;8,03646;16237;45,09278;8,03043
16232;16237;45,09278;8,03043;16238;45,11612;8,0037
16232;16238;45,11612;8,0037;16239;45,12763;7,99883
16240;16241;44,93933;7,94354;16242;44,91705;7,95836
16240;16242;44,91705;7,95836;16243;44,904;7,96847
16240;16243;44,904;7,96847;16244;44,87812;7,99449
16240;16244;44,87812;7,99449;16245;44,87616;8,00847
16240;16245;44,87616;8,00847;16246;44,85532;8,06343
16251;16259;44,98075;8,0588;16260;44,98947;8,02456
16251;16260;44,98947;8,02456;16261;44,98718;8,01734
16251;16261;44,98718;8,01734;16262;44,98646;8,00813
16251;16262;44,98646;8,00813;16263;44,96492;7,96315
16251;16263;44,96492;7,96315;16264;44,9657;7,95264
16251;16264;44,9657;7,95264;16265;44,962;7,94891
16251;16265;44,962;7,94891;16266;44,94251;7,93774
16340;16341;45,02133;7,95038;16342;45,0393;7,93802
16340;16342;45,0393;7,93802;16343;45,0651;7,93309
16340;16343;45,0651;7,93309;16344;45,07537;7,9305
16345;16346;45,09524;7,95308;16347;45,07901;7,9684
16345;16347;45,07901;7,9684;16348;45,07072;7,97199
16345;16348;45,07072;7,97199;16349;45,04156;7,96325
16345;16349;45,04156;7,96325;16350;45,02909;7,96743
16345;16350;45,02909;7,96743;16351;45,02092;7,97454
16345;16351;45,02092;7,97454;16352;45,0031;8,00633
16345;16352;45,0031;8,00633;16353;44,99312;8,02032
16345;16353;44,99312;8,02032;16354;44,99662;8,03042
16345;16354;44,99662;8,03042;16355;44,99877;8,05239
16345;16355;44,99877;8,05239;16356;44,99822;8,05985
16357;16358;45,04373;8,04365;16359;45,05381;8,04938
16357;16359;45,05381;8,04938;16360;45,05525;8,06361
16498;16499;45,04303;8,04097;16500;45,0375;8,01598
16498;16500;45,0375;8,01598;16501;45,03783;7,99457
16498;16501;45,03783;7,99457;16502;45,0399;7,96578
